_id,userId,correct.answers,ms,timestamp,response_ms,symbol,trial
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2220,plus,16
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2367,triangle,17
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2841,star,18
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2043,mult,19
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,1803,circle,20
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2655,mult,21
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,1626,circle,22
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,1906,star,23
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,1686,triangle,24
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2301,square,25
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2990,mult,26
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2038,triangle,27
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,1518,window,28
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2816,plus,29
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,3222,circle,30
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,1745,triangle,31
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,3358,plus,32
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,3871,triangle,33
SwbygYuzqAFwNznAD,qs5XkSepn4qjBpzck,33,0,2017-06-01 10:05:28.466,2524,plus,34
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2392,circle,1
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,3857,square,2
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2695,mult,3
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2058,circle,4
Ta6RL5Jm3kuSdA3uF,3ZJxRxNFMbsihHc9n,41,1,2017-06-01 10:18:49.461,2101,star,5
